File name,Color,Polymer,Matching
AI58_23_4.csv,light blue,PE,0.98
AI58_23_5.csv,white,PP,0.95
AI58_23_6.csv,green,PE,0.97
AI58_25_1.csv,white,PS,0.95
AI58_25_2.csv,light blue,PS,0.96
AI58_25_3.csv,white,PS,0.97
AI58_25_4.csv,white,PS,0.95
AI58_26_1.csv,transparent,PE,0.98
AI58_26_2.csv,blue,PE,0.96
AI58_26_3.csv,brown,PE,0.97
AI58_27_1.csv,white,PS,0.85
AI58_27_2.csv,white,PS,0.93
AI58_27_3.csv,transparent,PE,0.97
AI58_27_4.csv,white,PS,0.94
AI58_27_5.csv,green,PP,0.94
AI58_27_6.csv,white,PS,0.9
AI58_27_9.csv,white,PP,0.94
AI58_27_11.csv,transparent,PP,0.94
AI58_27_12.csv,transparent,PP,0.93
AI58_27_14.csv,white,PP,0.91
AI58_27_19.csv,transparent,PE,0.94
AI58_28_1.csv,white,PS,0.95
AI58_29_1.csv,yellow,PS,0.95
AI58_29_3.csv,gray,PE,0.9
AI58_2_7.csv,white,PS,0.86
AI58_2_14.csv,white,PE,0.97
AI58_30_1.csv,white,PS,0.97
AI58_30_2.csv,transparent,PE,0.97
AI58_30_3.csv,transparent,PE,0.97
AI58_30_5.csv,transparent,PE,0.97
AI58_30_7.csv,white,PE,0.96
AI58_30_8.csv,white,PE,0.98
AI58_30_10.csv,green,PE,0.95
AI58_30_11.csv,green,PE,0.97
AI58_31_1.csv,white,PE,0.97
AI58_31_2.csv,black,PE,0.91
AI58_32_1.csv,yellow,PE,0.97
AI58_32_2.csv,white,PP,0.95
AI58_32_3.csv,white,PE,0.97
AI58_33_1.csv,white,PP,0.95
AI58_33_2.csv,black,PP,0.95
AI58_35_1.csv,transparent,PP,0.94
AI58_35_2.csv,black,PE,0.79
AI58_35_3.1.csv,black,PE,0.86
AI58_35_4.csv,green,PE,0.95
AI58_35_5.csv,transparent,PP,0.97
AI58_35_6.csv,yellow,PP,0.72
AI58_35_7.csv,white,PE,0.92
AI58_35_8.csv,transparent,PE,0.99
AI58_35_10.csv,red,PP,0.84
AI58_35_11.csv,white,PE,0.97
AI58_35_12.csv,white,PS,0.94
AI58_35_13.csv,white,PE,0.98
AI58_35_14.csv,white,PE,0.96
AI58_35_15.csv,transparent,PE,0.98
AI58_35_16.csv,transparent,PE,0.97
