#EXPORTTYPE:DATA SINGLE
#FILE:2502-089-208-02-03-PE1-30-300-20kmin-100ml-Ar.ngb-dd7
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:2502-089-208-02-03
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 204F1 Phoenix
#PROJECT:2502-089-208
#DATE/TIME:10.07.2025 09:36
#CORR. FILE:2502-089-208-02-02-empty-30-300-20kmin-100ml-Ar.ngb-bd7
#TEMPCAL:04-09-2020 13:02
#SENSITIVITY:29-12-2022 20:43
#LABORATORY:RC Thermo
#OPERATOR:MC
#REMARK:2502-089-208-02-03-PE1-30-300-20kmin-100ml-Ar
#SAMPLE:PE1
#SAMPLE MASS /mg:1.74
#MATERIAL:poly
#REFERENCE:empty
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Concavus Al, closed
#SAMPLE CRUCIBLE MASS /mg:41.65
#REFERENCE CRUCIBLE MASS /mg:41.59
#PURGE 1 MFC:ARGON,240,3 ml/min
#PURGE 2 MFC:NITROGEN,250,0 ml/min
#PROTECTIVE MFC:ARGON,240,3 ml/min
#M.RANGE /µV:5000
#TAU-R:---
#CORR. CODE:020
#EXO:-1
#RANGE:20°C....300°C/-50.0....20.0K/min
#SEGMENT:S1-7/7
#SEG. 1:20°C/00:08/20°C
#SEG. 2:20°C/20.0(K/min)/300°C
#SEG. 3:300°C/20.0(K/min)/20°C
#SEG. 4:20°C/00:08/20°C
#SEG. 5:20°C/20.0(K/min)/300°C
#SEG. 6:300°C/50.0(K/min)/30°C
#SEG. 7:30°C/00:05/30°C

##Temp./°C;Time/min;DSC/(mW/mg);Sensit./(uV/mW);Segment
 19.53800; 0.00000; 1.344446e-02;3.42661;1
 19.53700; 0.00333; 1.150427e-02;3.42661;1
 19.53740; 0.00667; 9.935847e-03;3.42661;1
 19.53800; 0.01000; 9.023367e-03;3.42661;1
 19.53822; 0.01333; 8.321433e-03;3.42661;1
 19.53791; 0.01667; 8.238060e-03;3.42661;1
 19.53738; 0.02000; 7.453923e-03;3.42661;1
 19.53707; 0.02333; 6.389311e-03;3.42661;1
 19.53700; 0.02667; 4.611209e-03;3.42661;1
 19.53694; 0.03000; 3.176511e-03;3.42661;1
 19.53676; 0.03333; 1.634057e-03;3.42661;1
 19.53665; 0.03667;-1.079268e-04;3.42661;1
 19.53647; 0.04000;-2.095055e-03;3.42661;1
 19.53618; 0.04333;-4.202706e-03;3.42661;1
 19.53588; 0.04667;-6.375928e-03;3.42661;1
 19.53547; 0.05000;-8.595345e-03;3.42661;1
 19.53518; 0.05333;-1.112729e-02;3.42661;1
 19.53500; 0.05667;-1.380272e-02;3.42661;1
 19.53500; 0.06000;-1.646105e-02;3.42661;1
 19.53500; 0.06333;-1.881232e-02;3.42661;1
 19.53506; 0.06667;-2.087464e-02;3.42661;1
 19.53506; 0.07000;-2.270041e-02;3.42661;1
 19.53500; 0.07333;-2.422821e-02;3.42661;1
 19.53500; 0.07667;-2.550802e-02;3.42661;1
 19.53488; 0.08000;-2.656416e-02;3.42661;1
 19.53494; 0.08333;-2.742749e-02;3.42661;1
 19.53494; 0.08667;-2.789930e-02;3.42661;1
 19.53535; 0.09000;-2.789938e-02;3.42661;1
 19.53576; 0.09333;-2.771955e-02;3.42661;1
 19.53606; 0.09667;-2.760695e-02;3.42661;1
 19.53635; 0.10000;-2.760507e-02;3.42661;1
 19.53665; 0.10333;-2.759954e-02;3.42661;1
 19.53682; 0.10667;-2.753026e-02;3.42661;1
 19.53700; 0.11000;-2.732546e-02;3.42661;1
 19.53724; 0.11333;-2.687538e-02;3.42661;1
 19.53741; 0.11667;-2.617158e-02;3.42661;1
 19.53771; 0.12000;-2.534449e-02;3.42661;1
 19.53818; 0.12333;-2.437072e-02;3.42661;1
 19.53865; 0.12667;-2.355445e-02;3.42661;1
 19.53918; 0.13000;-2.290430e-02;3.42661;1
 19.53971; 0.13333;-2.239545e-02;3.42661;1
 19.54006; 0.13667;-2.194414e-02;3.42661;1
 19.54035; 0.14000;-2.152869e-02;3.42661;1
 19.54065; 0.14333;-2.109449e-02;3.42661;1
 19.54076; 0.14667;-2.044630e-02;3.42661;1
 19.54088; 0.15000;-1.965238e-02;3.42661;1
 19.54129; 0.15333;-1.863443e-02;3.42661;1
 19.54171; 0.15667;-1.769491e-02;3.42661;1
 19.54224; 0.16000;-1.690908e-02;3.42662;1
 19.54276; 0.16333;-1.639241e-02;3.42662;1
 19.54324; 0.16667;-1.607499e-02;3.42662;1
 19.54365; 0.17000;-1.582767e-02;3.42662;1
 19.54400; 0.17333;-1.554470e-02;3.42662;1
 19.54424; 0.17667;-1.507029e-02;3.42662;1
 19.54435; 0.18000;-1.445326e-02;3.42662;1
 19.54465; 0.18333;-1.393206e-02;3.42662;1
 19.54506; 0.18667;-1.350316e-02;3.42662;1
 19.54535; 0.19000;-1.317181e-02;3.42662;1
 19.54588; 0.19333;-1.287742e-02;3.42662;1
 19.54635; 0.19667;-1.259371e-02;3.42662;1
 19.54682; 0.20000;-1.259745e-02;3.42662;1
 19.54723; 0.20333;-1.272294e-02;3.42662;1
 19.54765; 0.20667;-1.290151e-02;3.42662;1
 19.54788; 0.21000;-1.275982e-02;3.42662;1
 19.54818; 0.21333;-1.231481e-02;3.42662;1
 19.54859; 0.21667;-1.151784e-02;3.42662;1
 19.54918; 0.22000;-1.034364e-02;3.42662;1
 19.54976; 0.22333;-9.151986e-03;3.42662;1
 19.55035; 0.22667;-8.114319e-03;3.42662;1
 19.55100; 0.23000;-7.306249e-03;3.42662;1
 19.55165; 0.23333;-6.847631e-03;3.42662;1
 19.55223; 0.23667;-6.631398e-03;3.42662;1
 19.55259; 0.24000;-6.340898e-03;3.42663;1
 19.55294; 0.24333;-5.443908e-03;3.42663;1
 19.55329; 0.24667;-4.056981e-03;3.42663;1
 19.55371; 0.25000;-2.489621e-03;3.42663;1
 19.55412; 0.25333;-1.080642e-03;3.42663;1
 19.55447; 0.25667; 1.471539e-05;3.42663;1
 19.55488; 0.26000; 6.800569e-04;3.42663;1
 19.55518; 0.26333; 1.356445e-03;3.42663;1
 19.55535; 0.26667; 1.734466e-03;3.42663;1
 19.55529; 0.27000; 1.584723e-03;3.42663;1
 19.55506; 0.27333; 9.229408e-04;3.42663;1
 19.55465; 0.27667; 2.367259e-04;3.42663;1
 19.55418; 0.28000;-2.527209e-04;3.42663;1
 19.55376; 0.28333;-1.064707e-03;3.42663;1
 19.55318; 0.28667;-2.353874e-03;3.42663;1
 19.55265; 0.29000;-3.290791e-03;3.42663;1
 19.55206; 0.29333;-5.317838e-03;3.42662;1
 19.55147; 0.29667;-9.393566e-03;3.42662;1
 19.55071; 0.30000;-1.637747e-02;3.42662;1
 19.54994; 0.30333;-2.371389e-02;3.42662;1
 19.54894; 0.30667;-2.988489e-02;3.42662;1
 19.54794; 0.31000;-3.466688e-02;3.42662;1
 19.54706; 0.31333;-3.918466e-02;3.42662;1
 19.54629; 0.31667;-4.328649e-02;3.42662;1
 19.54559; 0.32000;-4.692929e-02;3.42662;1
 19.54500; 0.32333;-4.957509e-02;3.42662;1
 19.54459; 0.32667;-5.235692e-02;3.42662;1
 19.54418; 0.33000;-5.613567e-02;3.42662;1
 19.54376; 0.33333;-6.061799e-02;3.42662;1
 19.54329; 0.33667;-6.486491e-02;3.42662;1
 19.54282; 0.34000;-6.801558e-02;3.42662;1
 19.54247; 0.34333;-7.042783e-02;3.42662;1
 19.54229; 0.34667;-7.179356e-02;3.42662;1
 19.54224; 0.35000;-7.099623e-02;3.42662;1
 19.54241; 0.35333;-6.940674e-02;3.42662;1
 19.54265; 0.35667;-6.706376e-02;3.42662;1
 19.54294; 0.36000;-6.551905e-02;3.42662;1
 19.54341; 0.36333;-6.430041e-02;3.42662;1
 19.54376; 0.36667;-6.330796e-02;3.42662;1
 19.54406; 0.37000;-6.212541e-02;3.42662;1
 19.54424; 0.37333;-6.011774e-02;3.42662;1
 19.54435; 0.37667;-5.781191e-02;3.42662;1
 19.54465; 0.38000;-5.530796e-02;3.42662;1
 19.54494; 0.38333;-5.259715e-02;3.42662;1
 19.54529; 0.38667;-4.990026e-02;3.42662;1
 19.54582; 0.39000;-4.737004e-02;3.42662;1
 19.54647; 0.39333;-4.497533e-02;3.42662;1
 19.54706; 0.39667;-4.275305e-02;3.42662;1
 19.54759; 0.40000;-4.094222e-02;3.42662;1
 19.54794; 0.40333;-3.958445e-02;3.42662;1
 19.54829; 0.40667;-3.823829e-02;3.42662;1
 19.54859; 0.41000;-3.661456e-02;3.42662;1
 19.54876; 0.41333;-3.470190e-02;3.42662;1
 19.54918; 0.41667;-3.214676e-02;3.42662;1
 19.54959; 0.42000;-2.960360e-02;3.42662;1
 19.55006; 0.42333;-2.720257e-02;3.42662;1
 19.55065; 0.42667;-2.568480e-02;3.42662;1
 19.55112; 0.43000;-2.509562e-02;3.42662;1
 19.55165; 0.43333;-2.446811e-02;3.42662;1
 19.55194; 0.43667;-2.402129e-02;3.42662;1
 19.55229; 0.44000;-2.269328e-02;3.42663;1
 19.55265; 0.44333;-2.128423e-02;3.42663;1
 19.55294; 0.44667;-1.959403e-02;3.42663;1
 19.55324; 0.45000;-1.747630e-02;3.42663;1
 19.55359; 0.45333;-1.565157e-02;3.42663;1
 19.55400; 0.45667;-1.422599e-02;3.42663;1
 19.55435; 0.46000;-1.356039e-02;3.42663;1
 19.55459; 0.46333;-1.247784e-02;3.42663;1
 19.55459; 0.46667;-1.171018e-02;3.42663;1
 19.55471; 0.47000;-1.158662e-02;3.42663;1
 19.55447; 0.47333;-1.211538e-02;3.42663;1
 19.55418; 0.47667;-1.264785e-02;3.42663;1
 19.55388; 0.48000;-1.304788e-02;3.42663;1
 19.55359; 0.48333;-1.286337e-02;3.42663;1
 19.55329; 0.48667;-1.308285e-02;3.42663;1
 19.55312; 0.49000;-1.384344e-02;3.42663;1
 19.55294; 0.49333;-1.684889e-02;3.42663;1
 19.55265; 0.49667;-2.009366e-02;3.42663;1
 19.55212; 0.50000;-2.423278e-02;3.42662;1
 19.55159; 0.50333;-2.794161e-02;3.42662;1
 19.55100; 0.50667;-3.163436e-02;3.42662;1
 19.55041; 0.51000;-3.450027e-02;3.42662;1
 19.54988; 0.51333;-3.694535e-02;3.42662;1
 19.54947; 0.51667;-3.937874e-02;3.42662;1
 19.54935; 0.52000;-4.112384e-02;3.42662;1
 19.54924; 0.52333;-4.287361e-02;3.42662;1
 19.54912; 0.52667;-4.481454e-02;3.42662;1
 19.54906; 0.53000;-4.740950e-02;3.42662;1
 19.54906; 0.53333;-5.003432e-02;3.42662;1
 19.54906; 0.53667;-5.196668e-02;3.42662;1
 19.54894; 0.54000;-5.311272e-02;3.42662;1
 19.54894; 0.54333;-5.319622e-02;3.42662;1
 19.54888; 0.54667;-5.178729e-02;3.42662;1
 19.54894; 0.55000;-4.992049e-02;3.42662;1
 19.54918; 0.55333;-4.739597e-02;3.42662;1
 19.54965; 0.55667;-4.550232e-02;3.42662;1
 19.54994; 0.56000;-4.417919e-02;3.42662;1
 19.55029; 0.56333;-4.323164e-02;3.42662;1
 19.55053; 0.56667;-4.239816e-02;3.42662;1
 19.55065; 0.57000;-4.077402e-02;3.42662;1
 19.55071; 0.57333;-3.917599e-02;3.42662;1
