#EXPORTTYPE:DATA SINGLE
#FILE:2502-089-208-02-07-PP2-30-300-20kmin-100ml-Ar.ngb-dd7
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:2502-089-208-02-07
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 204F1 Phoenix
#PROJECT:2502-089-208
#DATE/TIME:10.07.2025 15:09
#CORR. FILE:2502-089-208-02-02-empty-30-300-20kmin-100ml-Ar.ngb-bd7
#TEMPCAL:04-09-2020 13:02
#SENSITIVITY:29-12-2022 20:43
#LABORATORY:RC Thermo
#OPERATOR:MC
#REMARK:2502-089-208-02-07-PP2-30-300-20kmin-100ml-Ar
#SAMPLE:PP2
#SAMPLE MASS /mg:1.17
#MATERIAL:poly
#REFERENCE:empty
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Concavus Al, closed
#SAMPLE CRUCIBLE MASS /mg:41.65
#REFERENCE CRUCIBLE MASS /mg:41.59
#PURGE 1 MFC:ARGON,240,3 ml/min
#PURGE 2 MFC:NITROGEN,250,0 ml/min
#PROTECTIVE MFC:ARGON,240,3 ml/min
#M.RANGE /µV:5000
#TAU-R:---
#CORR. CODE:020
#EXO:-1
#RANGE:20°C....300°C/-50.0....20.0K/min
#SEGMENT:S1-7/7
#SEG. 1:20°C/00:08/20°C
#SEG. 2:20°C/20.0(K/min)/300°C
#SEG. 3:300°C/20.0(K/min)/20°C
#SEG. 4:20°C/00:08/20°C
#SEG. 5:20°C/20.0(K/min)/300°C
#SEG. 6:300°C/50.0(K/min)/30°C
#SEG. 7:30°C/00:05/30°C

##Temp./°C;Time/min;DSC/(mW/mg);Sensit./(uV/mW);Segment
 19.51700; 0.00000;-1.579637e-02;3.42659;1
 19.51533; 0.00333;-1.394576e-02;3.42659;1
 19.51480; 0.00667;-1.264075e-02;3.42659;1
 19.51500; 0.01000;-1.196616e-02;3.42659;1
 19.51533; 0.01333;-1.153657e-02;3.42659;1
 19.51564; 0.01667;-1.160520e-02;3.42659;1
 19.51562; 0.02000;-1.168267e-02;3.42659;1
 19.51547; 0.02333;-1.166791e-02;3.42659;1
 19.51547; 0.02667;-1.110511e-02;3.42659;1
 19.51547; 0.03000;-1.029237e-02;3.42659;1
 19.51565; 0.03333;-9.410678e-03;3.42659;1
 19.51588; 0.03667;-8.578123e-03;3.42659;1
 19.51600; 0.04000;-7.771363e-03;3.42659;1
 19.51612; 0.04333;-6.868204e-03;3.42659;1
 19.51618; 0.04667;-6.282090e-03;3.42659;1
 19.51600; 0.05000;-5.896626e-03;3.42659;1
 19.51588; 0.05333;-5.745693e-03;3.42659;1
 19.51582; 0.05667;-5.324666e-03;3.42659;1
 19.51576; 0.06000;-4.724220e-03;3.42659;1
 19.51582; 0.06333;-4.383105e-03;3.42659;1
 19.51594; 0.06667;-4.372013e-03;3.42659;1
 19.51612; 0.07000;-4.801143e-03;3.42659;1
 19.51624; 0.07333;-5.161288e-03;3.42659;1
 19.51635; 0.07667;-5.779411e-03;3.42659;1
 19.51629; 0.08000;-6.602763e-03;3.42659;1
 19.51629; 0.08333;-7.873575e-03;3.42659;1
 19.51618; 0.08667;-9.029895e-03;3.42659;1
 19.51594; 0.09000;-9.984451e-03;3.42659;1
 19.51576; 0.09333;-1.072264e-02;3.42659;1
 19.51588; 0.09667;-1.140438e-02;3.42659;1
 19.51588; 0.10000;-1.212864e-02;3.42659;1
